,0,1
0,11.566116,6.626192
1,11.610309,6.700866
2,10.011169,3.308491
3,10.917671,6.2984424
4,10.907758,4.327707
5,10.732702,5.9949656
6,10.944304,5.964864
7,7.550293,1.7982694
8,8.270896,4.152807
9,11.376671,5.3140907
10,4.0874643,4.6192174
11,5.7364855,5.153436
12,9.239908,6.0944343
13,11.365058,8.142045
14,9.174218,5.4948673
15,4.093904,4.5776305
16,7.194445,6.608225
17,7.189885,6.5369053
18,10.741394,5.415497
19,11.332203,4.8204436
20,4.3834143,6.568381
21,10.71465,5.421989
22,7.910164,5.119194
23,7.700608,3.4364557
24,7.5781875,3.6783552
25,5.413553,5.5566506
26,8.009915,6.5548615
27,9.291937,4.9528913
28,10.530655,5.251615
29,10.377235,7.0281177
30,8.056335,3.6501043
31,3.9833395,6.069791
32,7.4382486,3.466954
33,6.9294953,3.4122205
34,6.991817,3.4708343
35,11.124043,8.192393
36,10.604286,6.0821586
37,11.25045,8.116091
38,7.62474,4.057817
39,10.655346,5.326983
40,11.023235,6.8633976
41,11.321103,5.367769
42,10.426462,3.7621362
43,10.440179,3.8435018
44,11.097689,4.6903696
45,11.162434,5.6036344
46,9.926411,6.5440917
47,10.660272,5.3174562
48,10.297678,3.607253
49,11.40321,5.3526306
50,8.010077,3.6249616
51,7.5959907,2.0006802
52,10.9727955,7.0063415
53,11.602294,6.668806
54,5.6829014,4.9717083
55,5.6787863,4.9480157
56,11.241469,5.4684815
57,7.310888,6.6762743
58,7.310981,6.533221
59,10.421358,3.7549007
60,7.5179324,7.3096104
61,6.709451,4.6610723
62,4.091566,4.635837
63,4.5014787,5.6590486
64,11.017602,4.63406
65,5.760807,3.1041484
66,8.736596,4.3869085
67,8.707607,4.3790545
68,4.40531,6.494689
69,4.3410716,5.5733247
70,5.728682,3.1075854
71,5.771445,3.1336207
72,5.9863434,3.195721
73,5.6998205,3.0776994
74,10.208588,5.3427196
75,5.26673,6.4296517
76,10.253534,3.5695648
77,11.24408,4.850573
78,8.897343,5.7897286
79,5.696103,3.6933248
80,5.823668,3.206312
81,11.368919,6.1883006
82,6.552163,2.0575354
83,7.3739977,2.0292823
84,10.756774,8.163317
85,10.152415,6.724916
86,11.096415,5.8136125
87,6.986983,3.5961351
88,10.980445,8.012454
89,10.581219,7.6766768
90,7.6366067,7.4501033
91,6.410647,5.27243
92,4.382351,5.543319
93,11.2833605,7.5437765
94,7.832456,6.452462
95,7.6419206,7.460928
96,8.014453,4.77066
97,6.505548,2.011677
98,7.470625,6.105628
99,4.799311,6.261615
100,5.9273562,3.4794757
101,7.353514,2.0755877
102,8.665717,4.4653935
103,7.105197,4.9731264
104,7.712712,4.6489873
105,4.1296735,5.9279804
106,4.183414,6.4717774
107,8.6910515,4.416774
108,4.2542257,6.434574
109,4.037543,5.900013
110,5.4966836,5.490414
111,4.212317,6.4919715
112,4.7255826,5.49793
113,9.870522,6.7584295
114,11.657653,6.7441916
115,11.028455,6.9027143
116,9.531977,6.817154
117,7.440982,1.6915498
118,10.7811165,7.317184
119,7.762744,3.4632146
120,7.048068,2.8716342
121,11.572777,6.683748
122,11.626554,6.7590094
123,6.019896,3.0580387
124,7.6943507,3.3565714
125,9.575791,6.8481874
126,7.4996505,3.8438253
127,7.7071514,3.4297793
128,4.6329045,4.6569986
129,5.5499544,5.452787
130,6.9074893,5.098674
131,7.470732,1.60968
132,11.373225,5.3701587
133,11.065452,7.9960647
134,5.1803093,6.286053
135,7.4647913,2.0716188
136,7.0204353,3.4801981
137,6.9844236,3.456229
138,10.060828,3.3025682
139,10.347197,3.7070634
140,9.963671,6.486223
141,8.705005,4.412485
142,9.331622,6.049558
143,7.1131525,4.5240445
144,5.9063187,3.3192687
145,11.344665,6.6292415
146,8.562765,4.3761034
147,9.972658,6.4062986
148,5.66161,5.474962
149,7.5665593,6.009138
150,6.6460266,4.6954994
151,9.755769,6.3825316
152,10.0124235,3.2894654
153,10.384753,3.708929
154,10.456688,3.8138406
155,10.705008,5.284603
156,10.03336,3.3084447
157,10.1465,3.3871717
158,10.336817,3.5949361
159,11.435151,6.9377823
160,10.020933,3.303894
161,11.423097,6.745094
162,11.675727,6.6304126
163,9.980635,3.2322237
164,7.6390104,7.452698
165,3.4774542,6.1966324
166,10.310596,7.0755396
167,10.443176,7.338136
168,10.456332,3.7454233
169,6.5509276,3.599544
170,10.933844,8.213918
171,8.598397,4.2027745
172,10.699043,8.082883
173,11.08407,6.328165
174,6.973013,3.5763028
175,11.287619,8.171353
176,7.470294,1.7914227
177,6.57754,2.1034026
178,7.765926,4.46131
179,6.6644454,4.8315825
180,11.642544,6.732998
181,11.154553,8.218466
182,10.563341,7.687741
183,6.694047,4.926041
184,10.827073,7.7304964
185,4.321161,5.58341
186,4.6904545,5.8667345
187,10.264214,6.2410707
188,10.90594,7.814155
189,11.649349,6.7030306
190,11.040228,8.0244
191,6.269271,6.4576416
192,7.0466495,3.8601336
193,7.00328,2.3063996
194,11.167018,7.888066
195,3.9466624,6.2360277
196,7.0691504,3.763183
197,11.115874,8.132879
198,7.493201,1.6087037
199,4.7799516,4.8407326
200,4.358366,6.3614635
201,6.384132,3.5482302
202,10.846618,7.2324677
203,5.94104,5.210983
204,7.278721,4.906282
205,6.6830173,4.327816
206,6.5127974,2.0451953
207,6.5360518,4.093159
208,7.915198,6.5479503
209,4.260453,5.781224
210,7.525582,6.6432977
211,7.5517282,4.8197
212,4.3200445,6.5506454
213,6.87383,4.939362
214,7.3712244,4.590353
215,10.113795,3.2703946
216,7.530091,6.099042
217,6.5294194,2.0874221
218,10.122388,4.536036
219,7.21076,5.362253
220,6.799097,6.3243756
221,7.224429,5.338078
222,6.546868,2.0673249
223,4.5727296,6.428845
224,7.40207,1.8333243
225,7.469814,1.6673887
226,7.489018,5.693585
227,6.0518045,3.2215123
228,7.554139,2.03577
229,11.29622,7.515962
230,10.819202,6.0501466
231,7.4655914,1.6527607
232,10.7939205,5.790413
233,9.333657,6.0664067
234,9.196815,5.527091
235,10.824515,8.201068
236,4.580643,5.581792
237,7.85137,3.5728605
238,7.716777,3.4056716
239,4.5923996,4.6691623
240,11.205102,7.537515
241,11.165082,7.8908296
242,4.485098,5.7337327
243,4.5483384,5.5903783
244,11.017674,4.539877
245,10.850513,7.882376
246,10.091145,7.1851006
247,6.648719,2.2455883
248,4.26487,6.4645524
249,9.990069,6.7967787
250,6.1546946,5.4472346
251,7.513363,1.6108074
252,3.4058,6.1971846
253,4.106364,4.6389484
254,5.9662313,5.240158
255,10.881234,5.8379197
256,10.775114,6.1142545
257,11.303823,5.446393
258,3.4058125,6.195536
259,3.4174445,6.1753626
260,7.8429914,3.9327965
261,7.559255,3.6227841
262,5.097521,6.2453074
263,7.018789,3.6126585
264,4.2024426,5.4012938
265,9.229054,4.9978776
266,10.632666,4.2317386
267,7.4943767,5.7238173
268,10.809712,7.270843
269,11.085638,5.5288596
270,10.825393,4.3140945
271,7.5470686,7.3283944
272,11.161751,6.0226064
273,5.1626906,6.45473
274,7.096776,2.4581182
275,7.676346,4.741757
276,3.5317647,6.1755576
277,5.7968535,3.179092
278,7.5923243,6.7758684
279,9.980751,6.444554
280,9.948026,7.398435
281,11.023114,5.8612423
282,11.340005,6.306278
283,11.279771,4.735052
284,11.429663,5.29632
285,11.440436,5.0970583
286,7.4514503,4.647675
287,6.5543528,6.18266
288,3.8750947,5.9949327
289,6.6191773,2.1465807
290,5.9452796,5.219618
291,7.7706966,3.7482011
292,6.3735394,2.4802034
293,7.6907053,3.7196314
294,6.183585,3.1132402
295,7.273754,6.7004147
296,10.183124,6.2890086
297,7.4227605,7.098206
298,7.4698706,6.8161044
299,7.5706706,6.6901813
300,7.617781,6.696405
301,7.0357084,6.484562
302,7.3678894,6.784917
303,7.726964,7.5201006
304,6.1089735,3.07324
305,11.308949,4.7777195
306,7.3212705,6.2064004
307,6.541564,2.0356507
308,3.5002167,6.176392
309,5.923908,3.0881495
310,3.5427568,6.114936
311,6.510939,2.034586
312,6.9660306,5.1454363
313,10.047249,5.379265
314,9.200638,5.527748
315,7.176926,1.7223057
316,6.927012,2.2720048
317,4.136979,6.379653
318,7.2913613,3.7735505
319,7.445891,7.177067
320,4.331846,6.5494657
321,10.850994,7.0926914
