,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
0,0.006459431882433235,0.031443584570187026,0.00957610387404162,0.01797477198200168,0.04947782552520123,0.009897861915288297,0.008986687552639717,0.7676287008690194,0.009865048495376078,0.007724925061827978,0.008302442958497613,0.007227047923234374,0.02684892050517076
1,6.499072757848273e-309,3.144086532089054e-308,9.593402954114747e-309,1.797437457603766e-308,4.751454759245015e-308,9.8832756577094e-309,8.963687032565363e-309,1.0,9.86852187297932e-309,7.731050159230645e-309,8.32076057034694e-309,7.25369458789682e-309,2.6315145631176775e-308
2,0.008591446293303176,0.012785477371525423,0.013821822494767707,0.7632899793757265,0.019081996594824503,0.01770626084607807,0.013166067910293433,0.014435744038427342,0.02103111338329843,0.011286306722318796,0.011515246663775298,0.01134281064994086,0.015051522719821547
3,7.38307861615996e-309,3.4304307996818256e-308,1.169093601172396e-308,2.9155699438740487e-308,1.0,1.2064945680400203e-308,1.066413964734734e-308,5.615114179154705e-308,1.2535223814536855e-308,9.066387602940377e-309,9.62265666030101e-309,8.59467135432433e-309,4.0403568420307245e-308
4,8.094893907164073e-309,1.5321949563272575e-308,1.4299232907746827e-308,1.0,3.2390314442261255e-308,1.4104337290121283e-308,1.1148014730349176e-308,1.899789924485171e-308,1.6852886075012664e-308,9.70404542001104e-309,9.69679331873148e-309,1.029057407067451e-308,2.0744155083289843e-308
5,7.686257314887105e-309,3.2214605143871816e-308,1.2543132591207684e-308,3.2663033488328037e-308,1.0,1.250588250138989e-308,1.0913301579205136e-308,4.208601402055211e-308,1.327248301608342e-308,9.33326676773168e-309,9.717125433086064e-309,9.06645721208084e-309,4.589099253564027e-308
6,7.46774248679943e-309,3.1314912190260357e-308,1.197951994576551e-308,3.2756342783569717e-308,1.0,1.2241121238369157e-308,1.075910655655888e-308,4.63567033147683e-308,1.2919603763567486e-308,9.14931247412417e-309,9.63145724744652e-309,8.79743248318877e-309,3.9013004507908874e-308
7,1.4658380634594843e-308,9.159900625099535e-309,1.349733930136534e-308,1.03950319117797e-308,9.09145911027943e-309,2.9843282529118075e-308,5.152432145172431e-308,7.846604907857246e-309,2.305091285055684e-308,1.0,3.0509768362885996e-308,1.867740593112137e-308,9.730238049658753e-309
8,0.015707484372858502,0.016635278962159886,0.0208899481043365,0.021759450645131496,0.01728920051589559,0.15187973648028694,0.06828462156277727,0.014512187230512954,0.05041419398501242,0.04699781571190278,0.05663663136028245,0.02012093349428988,0.017470214050306365
9,6.97312016183047e-309,2.2070130743807815e-308,1.104201001455487e-308,3.9043354221855044e-308,1.0,1.079081203768963e-308,9.41713632289838e-309,3.2827616897379945e-308,1.1870565155126155e-308,8.175614986766243e-309,8.55251355599888e-309,8.282345515526476e-309,2.6686644456904463e-308
